ccode,cname,enroll,numtsttakrsat,numerw,pcterw,nummath,pctmath,totnumboth,pctboth,numtsttakract,avgscrread,avgscreng,avgscrmath,avgscrsci,numge21,pctge21,avgscrtot,hhincome
1,Alameda,17567,5946,4566.0,76.79,3623.0,60.93,3458.0,58.16,3630.0,25.0,24.0,24.0,24.0,2459.0,67.74,24.25,92574
4,Butte,2551,551,453.0,82.21,349.0,63.34,332.0,60.25,226.0,23.0,22.0,23.0,23.0,146.0,64.6,22.75,48443
7,Contra Costa,14593,5412,3798.0,70.18,2814.0,52.0,2721.0,50.28,3183.0,25.0,25.0,24.0,24.0,2250.0,70.69,24.5,93712
9,El Dorado,2226,604,547.0,90.56,458.0,75.83,442.0,73.18,465.0,25.0,24.0,25.0,24.0,358.0,76.99,24.5,80582
10,Fresno,14299,4070,2664.0,65.45,1619.0,39.78,1538.0,37.79,1805.0,21.0,20.0,20.0,20.0,753.0,41.72,20.25,51261
12,Humboldt,1342,300,250.0,83.33,177.0,59.0,169.0,56.33,107.0,25.0,24.0,24.0,24.0,79.0,73.83,24.25,45528
13,Imperial,3168,775,540.0,69.68,320.0,41.29,297.0,38.32,496.0,20.0,19.0,20.0,19.0,181.0,36.49,19.5,45834
15,Kern,14229,3793,2334.0,61.53,1481.0,39.05,1364.0,35.96,1257.0,21.0,20.0,20.0,20.0,544.0,43.28,20.25,52479
16,Kings,2004,443,290.0,65.46,162.0,36.57,150.0,33.86,282.0,18.0,17.0,18.0,18.0,69.0,24.47,17.75,53865
17,Lake,667,167,123.0,73.65,71.0,42.51,65.0,38.92,65.0,21.0,19.0,19.0,19.0,27.0,41.54,19.5,42475
19,Los Angeles,114618,48676,30081.0,61.8,19791.0,40.66,18555.0,38.12,20678.0,21.0,20.0,21.0,20.0,9182.0,44.4,20.5,64251
20,Madera,2352,442,277.0,62.67,136.0,30.77,127.0,28.73,375.0,19.0,18.0,19.0,19.0,125.0,33.33,18.75,52884
21,Marin,2647,965,855.0,88.6,674.0,69.84,664.0,68.81,753.0,27.0,26.0,25.0,25.0,606.0,80.48,25.75,110217
23,Mendocino,988,217,174.0,80.18,118.0,54.38,110.0,50.69,68.0,25.0,23.0,22.0,22.0,44.0,64.71,23.0,49233
24,Merced,4559,1195,735.0,61.51,382.0,31.97,348.0,29.12,594.0,20.0,18.0,18.0,19.0,180.0,30.3,18.75,50129
27,Monterey,5768,1872,1113.0,59.46,655.0,34.99,607.0,32.43,1022.0,20.0,19.0,20.0,20.0,387.0,37.87,19.75,66676
28,Napa,1717,555,403.0,72.61,272.0,49.01,258.0,46.49,209.0,22.0,22.0,22.0,22.0,130.0,62.2,22.0,84753
29,Nevada,1869,186,159.0,85.48,131.0,70.43,127.0,68.28,76.0,25.0,24.0,24.0,24.0,57.0,75.0,24.25,63240
30,Orange,41235,16061,11463.0,71.37,8971.0,55.86,8533.0,53.13,8501.0,25.0,24.0,24.0,24.0,6087.0,71.6,24.25,85398
31,Placer,5931,1959,1709.0,87.24,1395.0,71.21,1350.0,68.91,1292.0,25.0,24.0,24.0,24.0,993.0,76.86,24.25,84357
33,Riverside,34277,14070,8572.0,60.92,5121.0,36.4,4799.0,34.11,4767.0,21.0,20.0,20.0,20.0,2144.0,44.98,20.25,63948
34,Sacramento,19540,6090,4138.0,67.95,2945.0,48.36,2779.0,45.63,3065.0,21.0,20.0,21.0,21.0,1526.0,49.79,20.75,63902
35,San Benito,885,226,170.0,75.22,115.0,50.88,107.0,47.35,123.0,21.0,20.0,21.0,21.0,56.0,45.53,20.75,81977
36,San Bernardino,31635,10544,7014.0,66.52,4368.0,41.43,4083.0,38.72,5418.0,18.0,17.0,19.0,18.0,1550.0,28.61,18.0,60164
37,San Diego,42040,12872,10086.0,78.36,7462.0,57.97,7146.0,55.52,8081.0,24.0,23.0,23.0,23.0,5231.0,64.73,23.25,74855
38,San Francisco,4447,2256,1579.0,69.99,1380.0,61.17,1248.0,55.32,1078.0,22.0,21.0,22.0,21.0,565.0,52.41,21.5,104552
39,San Joaquin,11778,3351,2344.0,69.95,1515.0,45.21,1417.0,42.29,1348.0,22.0,21.0,21.0,21.0,693.0,51.41,21.25,61145
40,San Luis Obispo,2841,630,552.0,87.62,409.0,64.92,401.0,63.65,570.0,24.0,23.0,23.0,23.0,396.0,69.47,23.25,70699
41,San Mateo,7235,3113,2410.0,77.42,1945.0,62.48,1857.0,59.65,1434.0,25.0,25.0,25.0,24.0,1049.0,73.15,24.75,113776
42,Santa Barbara,5304,1211,978.0,80.76,754.0,62.26,727.0,60.03,824.0,23.0,23.0,23.0,23.0,506.0,61.41,23.0,71657
43,Santa Clara,21656,6920,5741.0,82.96,4796.0,69.31,4620.0,66.76,4228.0,27.0,27.0,26.0,26.0,3300.0,78.05,26.5,116178
44,Santa Cruz,3239,864,655.0,75.81,487.0,56.37,468.0,54.17,567.0,23.0,22.0,22.0,22.0,317.0,55.91,22.25,78041
45,Shasta,2161,386,330.0,85.49,256.0,66.32,246.0,63.73,173.0,26.0,24.0,24.0,24.0,131.0,75.72,24.5,50905
48,Solano,4845,1410,1063.0,75.39,728.0,51.63,686.0,48.65,436.0,23.0,22.0,22.0,22.0,261.0,59.86,22.25,77609
49,Sonoma,5496,1326,1073.0,80.92,772.0,58.22,746.0,56.26,837.0,24.0,23.0,23.0,23.0,549.0,65.59,23.25,76753
50,Stanislaus,9071,2373,1605.0,67.64,971.0,40.92,904.0,38.1,753.0,22.0,21.0,21.0,21.0,403.0,53.52,21.25,57387
51,Sutter,1827,359,297.0,82.73,189.0,52.65,187.0,52.09,196.0,23.0,22.0,22.0,22.0,117.0,59.69,22.25,56955
52,Tehama,688,91,69.0,75.82,53.0,58.24,52.0,57.14,302.0,19.0,18.0,19.0,19.0,105.0,34.77,18.75,42899
54,Tulare,7558,1801,1117.0,62.02,640.0,35.54,589.0,32.7,951.0,20.0,18.0,19.0,19.0,326.0,34.28,19.0,47518
56,Ventura,10750,4534,2815.0,62.09,2068.0,45.61,1967.0,43.38,1552.0,25.0,24.0,24.0,24.0,1086.0,69.97,24.25,84017
57,Yolo,2299,759,586.0,77.21,464.0,61.13,443.0,58.37,355.0,23.0,23.0,23.0,23.0,223.0,62.82,23.0,65923
58,Yuba,977,178,140.0,78.65,91.0,51.12,88.0,49.44,64.0,21.0,19.0,20.0,20.0,30.0,46.88,20.0,52624
