Geographic Area Name,Estimate!!Households!!Median income (dollars)
Alabama,49861
Alaska,74346
Arizona,59246
Arkansas,47062
California,75277
Colorado,71953
Connecticut,76348
Delaware,64805
Florida,55462
Georgia,58756
Hawaii,80212
Idaho,55583
Illinois,65030
Indiana,55746
Iowa,59955
Kansas,58218
Kentucky,50247
Louisiana,47905
Maine,55602
Maryland,83242
Massachusetts,79835
Michigan,56697
Minnesota,70315
Mississippi,44717
Missouri,54478
Montana,55328
Nebraska,59566
Nevada,58646
New Hampshire,74991
New Jersey,81740
New Mexico,47169
New York,67844
North Carolina,53855
North Dakota,63837
Ohio,56111
Oklahoma,51924
Oregon,63426
Pennsylvania,60905
Rhode Island,64340
South Carolina,52306
South Dakota,56274
Tennessee,52375
Texas,60629
Utah,71414
Vermont,60782
Virginia,72577
Washington,74073
West Virginia,44097
Wisconsin,60773
Wyoming,61584
Puerto Rico,20296
